Game ID,Date,Away Team,Away Score,Away Spread Open,Away Spread Open Odds,Away Spread Close,Away Spread Close Odds,Over Open,Over Open Odds,Over Close,Over Close Odds,Home Team,Home Score,Home Spread Open,Home Spread Open Odds,Home Spread Close,Home Spread Close Odds,Under Open,Under Open Odds,Under Close,Under Close Odds
3249494,20061031,Chicago,108,6.5,-110,5,-110,192,-110,187,-110,Miami,66,-6.5,-110,-5,-110,192,-110,187,-110
3249495,20061031,Phoenix,106,-4,-110,-7.5,-110,207.5,-110,206,-110,L.A. Lakers,114,4,-110,7.5,-110,207.5,-110,206,-110
3249496,20061101,Indiana,106,-2,-110,-1,-110,195,-110,193.5,-110,Charlotte,99,2,-110,1,-110,195,-110,193.5,-110
3249497,20061101,Chicago,94,2.5,-110,-2,-110,187,-110,183,-110,Orlando,109,-2.5,-110,2,-110,187,-110,183,-110
3249498,20061101,Atlanta,75,7,-110,6,-110,200.5,-110,198.5,-110,Philadelphia,88,-7,-110,-6,-110,200.5,-110,198.5,-110
3249499,20061101,New Orleans,91,4.5,-110,3,-110,197.5,-110,197.5,-110,Boston,87,-4.5,-110,-3,-110,197.5,-110,197.5,-110
3249500,20061101,Toronto,92,5.5,-110,6.5,-110,199.5,-110,201.5,-110,New Jersey,102,-5.5,-110,-6.5,-110,199.5,-110,201.5,-110
3249501,20061101,Milwaukee,105,7.5,-110,7,-110,192.5,-110,194.5,-110,Detroit,97,-7.5,-110,-7,-110,192.5,-110,194.5,-110
3249502,20061101,Sacramento,83,5,-110,5,-110,187.5,-110,184.5,-110,Minnesota,92,-5,-110,-5,-110,187.5,-110,184.5,-110
3249503,20061101,New York,118,5,-110,5,-110,189,-110,195.5,-110,Memphis,117,-5,-110,-5,-110,189,-110,195.5,-110
3249504,20061101,Washington,94,5,-110,6,-110,193.5,-110,194,-110,Cleveland,97,-5,-110,-6,-110,193.5,-110,194,-110
3249505,20061101,Houston,97,1,-110,-2,-110,186,-110,179.5,-110,Utah,107,-1,-110,2,-110,186,-110,179.5,-110
3249506,20061101,Portland,110,8,-110,9,-110,198.5,-110,197.5,-110,Seattle,106,-8,-110,-9,-110,198.5,-110,197.5,-110
3249507,20061101,L.A. Lakers,110,6.5,-110,8,-110,199,-110,204.5,-110,Golden State,98,-6.5,-110,-8,-110,199,-110,204.5,-110
3249508,20061101,L.A. Clippers,104,5,-110,5,-110,212,-110,211,-110,Phoenix,112,-5,-110,-5,-110,212,-110,211,-110
3249509,20061102,San Antonio,97,4.5,-110,3,-110,186,-110,182.5,-110,Dallas,91,-4.5,-110,-3,-110,186,-110,182.5,-110
3249510,20061102,Denver,95,4.5,-110,4,-110,200.5,-110,209.5,-110,L.A. Clippers,96,-4.5,-110,-4,-110,200.5,-110,209.5,-110
3249511,20061103,New Orleans,100,5,-110,4,-110,193.5,-110,192.5,-110,Indiana,91,-5,-110,-4,-110,193.5,-110,192.5,-110
3249512,20061103,Milwaukee,92,2,-110,-1,-110,211,-110,207,-110,Toronto,109,-2,-110,1,-110,211,-110,207,-110
3249513,20061103,Philadelphia,105,6,-110,5,-110,191,-110,191.5,-110,Orlando,103,-6,-110,-5,-110,191,-110,191.5,-110
3249514,20061103,Detroit,101,-2,-110,-2,-110,194.5,-110,195.5,-110,Boston,88,2,-110,2,-110,194.5,-110,195.5,-110
3249515,20061103,New Jersey,85,4.5,-110,5,-110,185,-110,187,-110,Miami,91,-4.5,-110,-5,-110,185,-110,187,-110
3249516,20061103,New York,92,2,-110,3,-110,204.5,-110,204.5,-110,Atlanta,102,-2,-110,-3,-110,204.5,-110,204.5,-110
3249517,20061103,Cleveland,88,5,-110,5.5,-110,187,-110,184.5,-110,San Antonio,81,-5,-110,-5.5,-110,187,-110,184.5,-110
3249518,20061103,Charlotte,83,5.5,-110,5,-110,189.5,-110,188,-110,Memphis,96,-5.5,-110,-5,-110,189.5,-110,188,-110
3249519,20061103,Sacramento,89,6,-110,6,-110,180,-110,186,-110,Chicago,88,-6,-110,-6,-110,180,-110,186,-110
3249520,20061103,Utah,108,7,-110,7.5,-110,212,-110,212.5,-110,Phoenix,104,-7,-110,-7.5,-110,212,-110,212.5,-110
3249521,20061103,Minnesota,112,6,-110,6,-110,196,-110,198.5,-110,Denver,109,-6,-110,-6,-110,196,-110,198.5,-110
3249522,20061103,Portland,89,8,-110,10,-110,212,-110,207.5,-110,Golden State,102,-8,-110,-10,-110,212,-110,207.5,-110
3249523,20061103,Seattle,112,4.5,-110,5.5,-110,206.5,-110,210,-110,L.A. Lakers,118,-4.5,-110,-5.5,-110,206.5,-110,210,-110
3249524,20061104,Boston,117,7,-110,7,-110,201,-110,200,-110,Washington,124,-7,-110,-7,-110,201,-110,200,-110
3249525,20061104,Cleveland,88,-4,-110,-3.5,-110,196,-110,192.5,-110,Charlotte,92,4,-110,3.5,-110,196,-110,192.5,-110
3249526,20061104,Memphis,86,7.5,-110,8,-110,186,-110,182,-110,Detroit,95,-7.5,-110,-8,-110,186,-110,182,-110
3249527,20061104,Indiana,109,-1.5,-110,-4,-110,203.5,-110,203.5,-110,New York,95,1.5,-110,4,-110,203.5,-110,203.5,-110
3249528,20061104,Sacramento,91,2.5,-110,2.5,-110,193,-110,192.5,-110,Milwaukee,104,-2.5,-110,-2.5,-110,193,-110,192.5,-110
3249529,20061104,Dallas,76,-1.5,-110,-2,-110,186.5,-110,184.5,-110,Houston,107,1.5,-110,2,-110,186.5,-110,184.5,-110
3249530,20061104,Golden State,82,5.5,-110,6.5,-110,209,-110,206.5,-110,Utah,106,-5.5,-110,-6.5,-110,209,-110,206.5,-110
3249531,20061104,Minnesota,86,-2.5,-110,-4,-110,193.5,-110,189.5,-110,Portland,88,2.5,-110,4,-110,193.5,-110,189.5,-110
3249532,20061104,Phoenix,108,3.5,-110,4.5,-110,215,-110,211.5,-110,L.A. Clippers,114,-3.5,-110,-4.5,-110,215,-110,211.5,-110
3249533,20061105,San Antonio,103,-4.5,-110,-6,-110,193,-110,192.5,-110,Toronto,94,4.5,-110,6,-110,193,-110,192.5,-110
3249534,20061105,Orlando,82,-3,-110,-4,-110,199.5,-110,194,-110,Atlanta,95,3,-110,4,-110,199.5,-110,194,-110
